,"Optimal (HJB-QVI), N=1","Pure Delta Hedge, N=1","Pure Passive MM, N=1"
E[Terminal Wealth],3.4872429404147502,-0.43448075285181287,3.487957918204114
E[Terminal Wealth]/option,3.4872429404147502,-0.43448075285181287,3.487957918204114
Std[Terminal Wealth]/option,1.0716908858028131,0.1645817838753265,1.304430192509592
Sharpe Ratio,3.2539634204338928,-2.639907908526131,2.673932218245911
E[Cum Tracking Error]/N^2,0.22802850870354036,0.0020313660929419464,0.41024228304993265
Reward/Tracking Ratio,2.8397084560327657,-0.43359995261017936,2.4733040273481968
Mean Final Inventory/option,0.22966666666666669,0.4704999999999999,-0.004333333333333328
Mean Market Orders,0.495,78.90166666666667,0.0
Mean Limit Fills,103.77166666666666,0.0,106.08333333333333
Mean Max Drawdown/option,0.5690845313565274,0.4395484540814799,0.7958851472637254
Mean Maker Rebate/option,0.025942916666666687,0.0,0.026520833333333355
Mean Taker Cost/option,0.0019800000000000004,0.3978133333333336,0.0
Mean Impact Cost/option,0.0001106853648862396,0.029693200521165804,0.0
